id	label	categorie	omschrijving	xpath	link_paqu	UD query	opmerking	Lassy UD
i6	pos	Attributen	pos	//node [@pos]	PaQu			
i7	postag	Attributen	postag	//node [@postag]	PaQu			
i8	pt	Attributen	pt	//node [@pt]	PaQu			
i9	smain	Hoofdzinnen	mededelende hoofdzinnen	//node[@cat="smain"]	PaQu	^--> [] !--punct--> [word="?"]	In UD heb je dat niet direct. Toevoegen als subtype van root (root:interrogative, etc)?	lassy
i10	whq	Hoofdzinnen	vraagzinnen (wh)	//node[@cat="whq"]	PaQu	[] --punct--> [word="?"]		
i11	janee	Hoofdzinnen	ja/nee vragen	%PQ_janee_vragen%	PaQu	[] --punct--> [word="?"];     !---->[lemma="wat|waar|waarom|wie|wiens|wier|hoe|waaraan|waarachter|waarachteraan|waaraf|waarbeneden|waarbij|waarbinnen|waarboven|waarbovenop|waarbovenuit|waarbuiten|waardoor|waardoorheen|waarheen|waarin|waarlangs|waarlijk|waarmede|waarmee|waarna|waarnaar|waarnaartoe|waarnaast|waarnevens|waarom|waaromheen|waaromtrent|waaronder|waaronderdoor|waaronderuit|waarop|waarover|waaroverheen|waarrond|waartegen|waartoe|waartussen|waaruit|waarvan|waarvanaf|waarvandaan|waarvoor|wanneer|welk|welke"]	Dit lukt niet zo makkelijk! het vraagwoord is niet altijd directe dependent van de root. Lassy heeft expliciet @stype='ynquestion'  De macros staan in ./src/internal/file/data/macros.txt in de paqu repository, https://github.com/rug-compling/paqu	lassy
i12	imp	Hoofdzinnen	imperatieven	//node[%PQ_imperatieven%]	PaQu	[deprel="root" & pos="VERB" & xpos=".*pv.*tgw.*ev.*" & xpos != ".*met-t.*"]     !--nsubj|csubj--> [];     !--punct-->[word="?"]	Geen imperatief in CGN tagset! Conjunctief overigens wel: [pos="VERB" &  xpos=".*conj.*"]	lassy
i13	whsub	Bijzinnen	ingebedde vraagzinnen	%PQ_ingebedde_vraagzinnen%	PaQu	 [] --(ccomp|xcomp|csubj|acl|obj)--> [] --(advmod|nsubj|obj)--> [lemma="waarom|wat|waar|wie|hoe|waardoor|waarin|enzovoort_hier_zou_een_macro_handig_zijn"]   		lassy
i14	ssub	Bijzinnen	finiete bijzinnen	//node[@cat='cp' and node[@rel='body' and @cat='ssub'] ]	PaQu	 [pos="VERB"] --obl--> [xpos =".*pv.*"] --> [pos="SCONJ" | lemma="wat|waar|wie|wiens|wier|hoe|waaraan|waarachter|waarachteraan|waaraf|waarbeneden|waarbij|waarbinnen|waarboven|waarbovenop|waarbovenuit|waarbuiten|waardoor|waardoorheen|waarheen|waarin|waarlangs|waarlijk|waarmede|waarmee|waarna|waarnaar|waarnaartoe|waarnaast|waarnevens|waarom|waaromheen|waaromtrent|waaronder|waaronderdoor|waaronderuit|waarop|waarover|waaroverheen|waarrond|waartegen|waartoe|waartussen|waaruit|waarvan|waarvanaf|waarvandaan|waarvoor|wanneer|welk|welke"] 		
i15	ssubdat	Bijzinnen	finiete bijzinnen met "dat"	//node[@cat='cp' and node[@rel='cmp' and @lemma='dat'] and node[@rel='body' and @cat='ssub'] ]	PaQu	 [pos="VERB"] --obl|ccomp|csubj--> [xpos =".*pv.*"] --> [pos="SCONJ" & lemma="dat" ] 		lassy
i16	ssubof	Bijzinnen	finiete bijzinnen met "of"	//node[@cat='cp' and node[@rel='cmp' and @lemma='of'] and node[@rel='body' and @cat='ssub'] ]	PaQu	 [pos="VERB"] --obl|ccomp|csubj--> [xpos =".*pv.*"] --> [pos="SCONJ" & lemma="of" ] 		lassy
i17	ssubcmp	Bijzinnen	finiete bijzinnen met andere voegwoorden	//node[@cat='cp' and node[@rel='cmp' and not(@lemma=('of','dat')) ] and node[@rel='body' and @cat='ssub'] ]	PaQu	 [pos="VERB"] --obl|ccomp|csubj--> [xpos =".*pv.*"] --> [pos="SCONJ" & lemma!="^(of|dat)$" ] 		lassy
i18	oti	Bijzinnen	infiniete bijzinnen met "om"	//node[@cat='oti']	PaQu	 []* --mark--> [lemma="om"]		lassy
i19	otivc	Bijzinnen	infiniete bijzinnen met "om" die als complement optreden	//node[@cat="oti" and @rel="vc"]	PaQu	 []* --(xcomp|ccomp)--> []* --mark--> [lemma="om"]		lassy
i20	otimod	Bijzinnen	infiniete bijzinnen met "om" die als bepaling optreden	//node[@cat="oti" and @rel="mod"]	PaQu	[]* --obl--> []* --mark--> [lemma="om"]		lassy
i21	otiww	Bijzinnen	infiniete bijzinnen met "om" die als bepaling bij een werkwoord optreden	//node[@cat="oti" and ../node[@rel="hd" and @pt="ww"] ]	PaQu	 [pos="VERB"]* --obl--> []* --mark--> [lemma="om"]		lassy
i22	otin	Bijzinnen	infiniete bijzinnen met "om" die als bepaling bij een zelfstandig naamwoord optreden	//node[@cat="oti" and ../node[@rel="hd" and @pt=("n","vnw") ] ]	PaQu	 [pos="NOUN"] --acl--> []* --mark--> [lemma="om"]		lassy
i23	otisu	Bijzinnen	infiniete bijzinnen met "om" die als onderwerp fungeren	//node[@cat="oti" and @rel="su"]	PaQu	 [] --csubj--> []* --mark--> [lemma="om"] 		lassy
i24	otipred	Bijzinnen	infiniete bijzinnen met "om" die als predicaat fungeren	//node[@cat="oti" and @rel="predc"]	PaQu	[pos="VERB"] --mark--> [lemma="om"];      --cop--> []		lassy
i25	otiobc	Bijzinnen	infiniete bijzinnen met "om" die optreden met combinaties zoals "te ADJ; zo ADJ; genoeg ADJ; voldoende N"	//node[@cat="oti" and @rel="obcomp"]	PaQu	 [pos="PRON|ADJ|NOUN"]     --advcl--> ([]* --mark--> [lemma="om"]);    ----> [lemma="te|voldoende|onvoldoende|genoeg|zo"] 		lassy
i26	tite	Bijzinnen	infiniete bijzinnen met alleen "te"	//node[@cat='ti' and not(../@cat=('oti','cp')) ]	PaQu	 [pos="VERB"]*        --obl|advcl--> []*           --mark--> [lemma="te"];          !--mark-->[lemma="om"]		lassy
i27	ti	Bijzinnen	infiniete bijzinnen met ander voorzetsel	//node[@cat='cp' and node[@rel='body' and @cat='ti'] ]	PaQu	[pos="VERB"]*        --obl|advcl--> []*           --mark--> [lemma="te"];          --mark-->[lemma!="om|te" & pos="ADP"]		lassy
i28	relssub	Bijzinnen	relatieve bijzinnen	%PQ_relatieve_bijzinnen%	PaQu	[] --acl:relcl--> []		lassy
i29	whrel	Bijzinnen	free relatives	%PQ_free_relatives%	PaQu	[] --nsubj|obl|obj-->       [] --nsubj|obj|advmod|obl-->             [lemma="w.*" & xpos=".*vb.*"]		lassy
i30	corc	Correlatieve comparatieven	totaal	%PQ_minimal_corr_comp%	PaQu	[]--parataxis-->[xpos=".*comp.*"]-->[word="hoe|deste|des"] | []--parataxis--> [pos="NOUN"] --> [xpos=".*comp.*"]-->[word="hoe|deste|des"]	Nog niet alles!	lassy
i31	cc	Woorden met een comparatief complement	totaal	//node[@rel="hd" and ../node[@rel="obcomp"]]	PaQu	[] --advcl--> [] --mark--> [lemma="dan"]  | [lemma="zo"] --advcl--> [] --mark--> [lemma="dat|als"] 		lassy
i32	cczo	Woorden met een comparatief complement	met als hoofd "zo"	//node[@rel="hd" and ../node[@rel="obcomp"] and @lemma="zo"]	PaQu			
