code	Gysseling online tag	Vertaling Meertens voor CRM	Verklaring uit database		
000	NOU(type=common,number=sg,inflection=0)	pos=N,feat.getal=ev	zelfstandig naamwoord enkelvoud, geen uitgang	N(soort,ev,form=0)	
001	NOU(type=common,number=sg,inflection=e)	pos=N,feat.getal=ev,feat.form=-e	zelfstandig naamwoord enkelvoud, uitgang -e	N(soort,ev,form=-e)	
002	NOU(type=common,number=sg,inflection=s/th)	pos=N,feat.getal=ev,feat.form=-s/-th	zelfstandig naamwoord enkelvoud, uitgang -s/-th	N(soort,ev,form=-s/-th)	
003	NOU(type=common,number=sg,inflection=t)	pos=N,feat.getal=ev,feat.form=-t	zelfstandig naamwoord enkelvoud, uitgang -t	N(soort,ev,form=-t)	
004	NOU(type=common,number=sg,inflection=n)	pos=N,feat.getal=ev,feat.form=-n	zelfstandig naamwoord enkelvoud, uitgang -n	N(soort,ev,form=-n)	
005	NOU(type=common,number=sg,inflection=r/re)	pos=N,feat.getal=ev,feat.form=-r/-re	zelfstandig naamwoord enkelvoud, uitgang -r/-re	N(soort,ev,form=-r/-re)	
006	NOU(type=common,number=sg,inflection=a)	pos=N,feat.getal=ev,feat.form=-a	zelfstandig naamwoord enkelvoud, uitgang -a	N(soort,ev,form=-a)	
009	NOU(type=common,number=sg,inflection=other)	pos=N,feat.getal=ev,feat.form=unclear	zelfstandig naamwoord enkelvoud, uitgang latijn, onduidelijk of evident fout geschreven	N(soort,ev,form=other)	
010	NOU(type=common,number=pl,inflection=0)	pos=N,feat.getal=mv	zelfstandig naamwoord meervoud, geen uitgang	N(soort,mv,form=0)	
011	NOU(type=common,number=pl,inflection=e)	pos=N,feat.getal=mv,feat.form=-e	zelfstandig naamwoord meervoud, uitgang -e	N(soort,mv,form=-e)	
012	NOU(type=common,number=pl,inflection=s/th)	pos=N,feat.getal=mv,feat.form=-s/-th	zelfstandig naamwoord meervoud, uitgang -s/-th	N(soort,mv,form=-s/-th)	
013	NOU(type=common,number=pl,inflection=t)	pos=N,feat.getal=mv,feat.form=-t	zelfstandig naamwoord meervoud, uitgang -t	N(soort,mv,form=-t)	
014	NOU(type=common,number=pl,inflection=n)	pos=N,feat.getal=mv,feat.form=-n	zelfstandig naamwoord meervoud, uitgang -n	N(soort,mv,form=-n)	
015	NOU(type=common,number=pl,inflection=r/re)	pos=N,feat.getal=mv,feat.form=-r/-re	zelfstandig naamwoord meervoud, uitgang -r/-re	N(soort,mv,form=-r/-re)	
016	NOU(type=common,number=pl,inflection=a)	pos=N,feat.getal=mv,feat.form=-a	zelfstandig naamwoord meervoud, uitgang -a	N(soort,mv,form=-a)	
019	NOU(type=common,number=pl,inflection=other)	pos=N,feat.getal=mv,feat.form=unclear	zelfstandig naamwoord meervoud, uitgang latijn, onduidelijk of evident fout geschreven	N(soort,mv,form=other)	
020	NOU(type=proper,inflection=0)	pos=N,feat.ntype=eigen	eigennaam, geen uitgang	N(eigen,form=0)	
021	NOU(type=proper,inflection=e)	pos=N,feat.ntype=eigen,feat.form=-e	eigennaam, uitgang -e	N(eigen,form=-e)	
022	NOU(type=proper,inflection=s/th)	pos=N,feat.ntype=eigen,feat.form=-s/-th	eigennaam, uitgang -s/-th	N(eigen,form=-s/-th)	
023	NOU(type=proper,inflection=t)	pos=N,feat.ntype=eigen,feat.form=-t	eigennaam, uitgang -t	N(eigen,form=-t)	
024	NOU(type=proper,inflection=n)	pos=N,feat.ntype=eigen,feat.form=-n	eigennaam, uitgang -n	N(eigen,form=-n)	
025	NOU(type=proper,inflection=r/re)	pos=N,feat.ntype=eigen,feat.form=-r/-re	eigennaam, uitgang -r/-re	N(eigen,form=-r/-re)	
026	NOU(type=proper,inflection=a)	pos=N,feat.ntype=eigen,feat.form=-a	eigennaam, uitgang -a	N(eigen,form=-a)	
029	NOU(type=proper,inflection=other)	pos=N,feat.ntype=eigen,feat.form=unclear	eigennaam, uitgang latijn, onduidelijk of evident fout geschreven	N(eigen,form=other)	
